drug_name,num_prescriber,total_cost
PROPYLTHIOURACIL,2093,1982600
DESVENLAFAXINE ER,252,679777
NALFON,26,212977
VENLAFAXINE HCL ER,109355,106173724
XIFAXAN,6748,233482363
TRILEPTAL,806,10624321
KAZANO,150,909663
TENIVAC,44,44237
CEFDINIR,21015,19705471
ZOLEDRONIC ACID,156,1567339
AZULFIDINE,19,35036
ORAP,325,626974
FULYZAQ,74,702916
ONFI,1563,46918645
NOVAREL,1,2572
APRI,398,97233
DEMSER,3,872702
FLUCONAZOLE,70262,27356169
XULANE,197,268195
TYVASO,6,1147982
DESOGESTREL-ETHINYL ESTRADIOL,78,16109
RITALIN LA,116,522645
OFEV,793,139101906
DICYCLOMINE HCL,44956,10927087
KLOR-CON M20,63846,46913757
FENOFIBRIC ACID,17064,47306090
UNIFINE PENTIPS,7375,4122990
DIVALPROEX SODIUM,56293,114865475
PEG-3350 AND ELECTROLYTES,2811,1146472
TRIAZOLAM,4483,3178039
CLINDAMYCIN PEDIATRIC,1,1454
NUVARING,223,322990
INNOPRAN XL,82,624431
ZITHROMAX TRI-PAK,1,4913
1ST TIER UNIFINE PENTIPS PLUS,9,2900
ALVESCO,534,3316823
SUTENT,409,58773360
QUININE SULFATE,395,1039944
TIMOLOL MALEATE,30723,63128456
NORETHINDRONE ACETATE,960,1042167
DEXTROAMPHETAMINE SULFATE,1480,3819097
AMCINONIDE,31,212069
CANDESARTAN-HYDROCHLOROTHIAZID,887,1245159
VIRACEPT,442,6792112
METAPROTERENOL SULFATE,49,41102
GLYNASE,4,6609
REBIF,1800,208796743
FOLCAL DHA,1,541
CLEMASTINE FUMARATE,200,92991
NEXIUM,114139,1761213922
DIASTAT ACUDIAL,26,292013
FREAMINE III,1,777
MEMANTINE HCL,28988,70538076
TAZTIA XT,8635,5165430
FINASTERIDE,92335,91615953
ACETIC ACID-ALUMINUM,54,68322
FALMINA,118,23969
RISEDRONATE SODIUM,5243,22094450
DOXYCYCLINE HYCLATE,76824,125615484
QUILLIVANT XR,12,63468
CAPACET,7,3132
CLOBETASOL PROPIONATE,35985,293160789
EMEND,393,5887480
COMPRO,109,167059
ZYCLARA,38,793944
OPDIVO,25,4532000
IMURAN,49,226555
LIDOCAINE HCL,7325,2775851
TROPICAMIDE,87,50688
QUINAPRIL HCL,39809,19895809
THALOMID,345,44857934
TIGAN,18,50923
GLUCOPHAGE,458,705169
GRASTEK,6,23188
LITE TOUCH,252,131330
ENTECAVIR,1720,38298850
GAMMAPLEX,54,9306196
ESTAZOLAM,1231,1195650
DESOXIMETASONE,3926,13518661
MAXIPIME,6,3419
KENALOG,17,172605
MIMVEY,360,582139
HALDOL DECANOATE 100,17,62672
EMSAM,216,4213709
MOXIFLOXACIN HCL,2454,5365105
COLESTIPOL HCL,7327,14651612
FLAVOXATE HCL,355,374706
FLOVENT DISKUS,2513,9097861
RENO CAPS,37,10226
ZOLADEX,14,243363
TABLOID,10,95871
ZERBAXA,14,233253
GRANIX,9,251506
AMINOSYN II,13,18746
ACETYLCYSTEINE,627,636073
PIRMELLA,39,4697
INTRALIPID,428,3723271
SUBOXONE,7530,157967081
TEMAZEPAM,74190,42893666
METHYLPREDNISOLONE ACETATE,178,83512
BUDESONIDE EC,5293,89150994
BUTISOL SODIUM,24,69254
MAXALT MLT,99,607814
RESTORIL,53,408040
EPZICOM,3598,191152227
LIDOCAINE,28966,298078366
DOLOPHINE HCL,3,5967
BOOSTRIX TDAP,2234,6814931
TRI-LEGEST FE,36,21874
NEVIRAPINE,1095,1702556
NEPHRON FA,3,1391
LOVAZA,2818,15355841
CLINIMIX,10,76164
STRATTERA,4253,29753475
GLIPIZIDE-METFORMIN,9340,19390649
CHLOROTHIAZIDE,393,177576
BENLYSTA,87,4750276
VASOTEC,101,1124822
GLUCAGEN,1415,8089409
BACLOFEN,82348,81252252
EMBEDA,47,518069
LODOSYN,63,2050656
SURE-PREP ALCOHOL PREP PADS,32,14089
DIAZEPAM,97727,23796976
INVEGA SUSTENNA,8280,603820675
SOTALOL,27684,16901069
CETIRIZINE HCL,330,102066
QVAR,22953,110512475
NISOLDIPINE,2057,7678538
AXONA,1,790
HALOPERIDOL DECANOATE 100,2368,5456037
GUANIDINE HCL,1,768
HALDOL,1,282
LACRISERT,124,954188
WELLBUTRIN SR,255,1101560
DIGOXIN,62196,84947870
ATENOLOL,181964,86554515
FLUCYTOSINE,1,203298
NALTREXONE HCL,2754,3101115
DERMATOP,1,1582
CAMILA,162,39149
PHENTOLAMINE MESYLATE,2,8010
DEXTROSE 5%-0.225% NACL-KCL,1,94
COMPLERA,2163,148240321
CALAN,4,12534
ONDANSETRON ODT,29697,13981316
DIPHENHYDRAMINE HCL,781,432525
TOUJEO SOLOSTAR,2025,24661337
VIORELE,94,34718
PROZAC,655,5484817
ROZEREM,4192,21163403
CAMRESE,1,882
CLONIDINE HCL,109055,32826630
LEVSIN,1,2053
DILT-CD,6,1421
OCELLA,200,127637
RECLIPSEN,179,41741
APRACLONIDINE HCL,95,213099
TINIDAZOLE,64,205338
RELENZA,3,3386
TARKA,207,443842
ELELYSO,5,2247401
KHEDEZLA,2,16636
STALEVO 200,53,460964
SYNALGOS-DC,4,6027
VIMOVO,437,15009485
GAVILYTE-N,4205,4395519
OXCARBAZEPINE,26293,33590341
AYGESTIN,2,1968
COZAAR,801,1475197
ABACAVIR-LAMIVUDINE-ZIDOVUDINE,462,10562409
ORENCIA,1585,129870163
REXULTI,91,1348426
TEFLARO,124,3045754
DORZOLAMIDE HCL,13053,14122425
ALPROSTADIL,1,3873
COLESTID,13,29196
LORAZEPAM,165259,72870430
GAMMAGARD S-D,21,2175207
MOZOBIL,1,223897
SYNRIBO,8,689686
ZESTRIL,228,829211
PREVALITE,1130,1672651
NEORAL,277,2031281
PHENTERMINE HCL,3,365
CYANOCOBALAMIN INJECTION,325,99188
ORPHENADRINE CITRATE,2180,1379020
SODIUM PHENYLBUTYRATE,4,643597
NEVANAC,2177,24206013
THEOPHYLLINE,1413,1316351
RIBAVIRIN,748,3357145
FOLBIC,1,180
TOBREX,70,152277
LUMIGAN,25728,402586964
TRIFLURIDINE,103,200757
CARBATROL,1147,4268837
IOPIDINE,10,44959
MENVEO A-C-Y-W-135-DIP,6,19104
BLEPHAMIDE,69,209245
DETROL LA,532,1874496
CELEXA,222,695198
DEXAMETHASONE,15926,5714973
VASCEPA,3388,33790956
RENAL CAPS,34,16278
HUMIRA PEN PSORIASIS,11,917754
PAROMOMYCIN SULFATE,3,17026
LEUKINE,31,6779668
CARBIDOPA-LEVODOPA-ENTACAPONE,3760,33653244
NP THYROID,124,32541
AURYXIA,193,3481650
MINOCYCLINE HCL,12363,7760602
PROCTOZONE-HC,6198,9372224
ISONIAZID,918,136707
LOPERAMIDE,12770,5922553
AUVI-Q,12,79569
VINCRISTINE SULFATE,5,1005
ARTHROTEC 50,41,149255
QUINAPRIL-HYDROCHLOROTHIAZIDE,3418,2335210
PRAVASTATIN SODIUM,181415,408510324
CAPECITABINE,1,22417
UTIRA-C,1,2736
LACLOTION,23,7729
KLOR-CON 10,16039,8330660
ALPRAZOLAM ER,1750,946160
PRENATA,1,169
SYPRINE,20,6700753
PRAMOSONE,20,62186
VALPROATE SODIUM,4,23725
NICARDIPINE HCL,397,1000697
SOMATULINE DEPOT,78,5923985
NORVASC,1509,3273719
EDURANT,676,13266247
ELINEST,97,24722
DEMEROL,150,248922
ACYCLOVIR,42016,32714171
CHLORDIAZEPOXIDE HCL,2422,333746
VITAFOL-ONE,3,4840
NITROMIST,1,5616
LOMUSTINE,7,7895
ENTRESTO,94,699673
DEXTROSE 5%-0.9% NACL,129,60425
MICROGESTIN,190,49902
IVERMECTIN,515,419394
CLINIMIX E,13,97215
VIREAD,4817,130752617
CALCITRENE,1,12614
ERAXIS (WATER DILUENT),5,85325
ZOLMITRIPTAN ODT,155,289757
NAPROXEN SODIUM,5071,3928101
DOXY 100,36,194750
SAVELLA,5367,24358682
ENDOCET,7807,17963625
DOXAZOSIN MESYLATE,74424,83549555
ACULAR LS,7,16349
MEROPENEM-0.9% NACL,5,14564
PALIPERIDONE ER,357,4631791
SURE-JECT INSULIN SYRINGE,30,11583
BECONASE AQ,89,314814
PAMIDRONATE DISODIUM,21,18545
IMOVAX RABIES VACCINE,1,4750
DEXTROSE 5%-1/2NS-KCL,6,4937
BREO ELLIPTA,10167,97456535
LOTENSIN,45,42171
SE-TAN DHA,3,2462
FIRMAGON,34,515881
SODIUM ACETATE,8,12980
RAZADYNE ER,8,32276
RALOXIFENE HCL,39233,223041905
JOLIVETTE,115,26456
LINZESS,20222,186373660
ULTRACOMFORT,1,119
PAMELOR,31,640667
PENTOXIFYLLINE,11477,6315953
LUVOX CR,1,4352
ADCIRCA,1701,186742673
ZIRGAN,242,1253140
TARON-C DHA,3,1034
AKYNZEO,10,90832
CIALIS,6739,39543988
INTRON A,76,1850533
CIPROFLOXACIN HCL,174086,42172914
TOPCARE CLICKFINE,1,266
DANTROLENE SODIUM,1577,2654779
VERAMYST,343,866281
CARBIDOPA,464,8769832
LESCOL XL,657,2551977
HUMALOG KWIKPEN U-200,17,251780
AZITHROMYCIN,179646,56633509
TOPAMAX,1722,32087729
MIGRANAL,25,1074282
TELMISARTAN-HYDROCHLOROTHIAZID,5589,11774777
VIMIZIM,1,1416815
OB COMPLETE,2,1788
DIVALPROEX SODIUM ER,39945,258290939
LEVONORGESTREL-ETH ESTRADIOL,123,25144
NEOMYCIN-POLYMYXIN B,117,150879
RESTASIS,27464,676692298
LUDENT FLUORIDE,17,1685
MATZIM LA,1187,1528238
VALGANCICLOVIR HCL,1219,90360305
POTASSIUM CHL-NORMAL SALINE,21,38585
REVATIO,181,11337520
SURE COMFORT,7662,4270906
CATAPRES-TTS 2,128,598280
MILRINONE IN 5% DEXTROSE,11,109412
LARIN,10,2578
ARIXTRA,16,811082
VIROPTIC,1,10791
ALOSETRON HCL,31,677307
ALDARA,1,9327
GLUCOPHAGE XR,277,386866
REGRANEX,176,4231093
ROSADAN,2,3718
DESOXYN,15,227521
RIDAURA,45,870425
EXELON,23818,398867748
POLYTRIM,1,798
ZOCOR,514,1916013
LEVEMIR,29324,383520033
APRISO,4572,45127793
DAYTRANA,58,235020
PERPHENAZINE-AMITRIPTYLINE,1676,1742097
TRAMADOL HCL-ACETAMINOPHEN,17948,11621999
CORTEF,84,102330
CICLOPIROX,12381,21890324
AZURETTE,115,43610
TREANDA,9,1064190
SUMATRIPTAN,334,1397063
AMLODIPINE-VALSARTAN-HCTZ,2787,9166547
JUNEL FE,567,149333
ADDERALL,163,884081
EASY TOUCH PEN NEEDLE,3072,1625692
DONEPEZIL HCL ODT,1746,1207039
NUTROPIN AQ NUSPIN,58,2209710
SILVER SULFADIAZINE,7809,5018966
MAXALT,105,909404
BENAZEPRIL HCL,80706,25241767
MONUROL,355,1268927
ATACAND,469,778595
BACITRACIN,2382,5388747
SE-NATAL 19,28,7817
TACROLIMUS,4094,33912025
SULFACETAMIDE SODIUM,806,661658
DERMASORB TA,1,9576
HYDROXYZINE PAMOATE,16627,6112554
MEDROL,50,36534
CEVIMELINE HCL,2181,10598305
TERCONAZOLE,2096,1534010
REPATHA SURECLICK,12,281083
CORTISPORIN,26,72242
C-NATE DHA,1,613
JINTELI,350,375863
CYCLOBENZAPRINE HCL,101886,53067399
EXEMESTANE,5558,69546043
RANITIDINE HCL,140632,84281510
ZYKADIA,40,5563841
TROSPIUM CHLORIDE ER,2532,11191299
KABIVEN,1,3030
YASMIN 28,19,22837
BIAXIN,11,59698
SABRIL,65,18887371
OXYBUTYNIN CHLORIDE,72753,70521434
PIOGLITAZONE-METFORMIN,4623,17183120
BUPROPION HCL SR,63404,44030706
LEFLUNOMIDE,5823,39341085
AVODART,25147,178952964
MAXZIDE,45,58937
ZONTIVITY,54,320683
TRETINOIN,2614,7817926
VIRT-PN,1,627
NITROGLYCERIN PATCH,17013,12891652
E.E.S. 200,220,3492629
BETAMETHASONE ACETATE-SOD PHOS,11,10408
ADEFOVIR DIPIVOXIL,258,2973047
ROBAXIN,5,282527
ALTACE,280,632560
CARBAMAZEPINE,33617,64599651
PHENYTOIN,8694,7121851
TECFIDERA,3168,792549607
LANSOPRAZOLE,55456,74159963
HALOPERIDOL LACTATE,1343,759425
TEXACORT,1,2232
VIMPAT,10299,251927907
RISPERDAL,502,5378757
INDERAL LA,226,1992797
K-PHOS NO.2,5,4207
FARXIGA,3097,23545876
NIFEDIPINE ER,67664,85185081
URSO,17,71167
MYRBETRIQ,20858,258842976
EPINASTINE HCL,801,1462039
VIRT-CAPS,4,1347
SUMATRIPTAN SUCCINATE,37981,43833381
PEPCID,19,107495
LEVALBUTEROL CONCENTRATE,9,31767
HUMALOG MIX 75-25,6117,69891600
CHLOROQUINE PHOSPHATE,45,34093
DOXORUBICIN HCL LIPOSOME,2,101110
COSENTYX (2 SYRINGES),3,334835
STELARA,242,51321681
TEKAMLO,5,12847
DEXPAK,7,18464
GLYBURIDE MICRONIZED,1162,243690
FUSILEV,5,232493
GLUCOVANCE,64,111690
ANDROGEL,9070,131154995
APIDRA,852,6312779
DIFFERIN,7,22576
SKELAXIN,61,401445
TENORETIC 100,5,6518
ACTOS,175,1087467
FE C PLUS,1,77
NEOMYCIN-POLYMYXIN-GRAMICIDIN,86,76651
OLANZAPINE ODT,5315,25544780
PROTOPIC,34,393117
FEMHRT,86,129848
AMNESTEEM,17,60812
BROMOCRIPTINE MESYLATE,1601,5872545
ARESTIN,19,1008265
BUPAP,30,338748
M-M-R II VACCINE,55,200354
BEYAZ,15,24807
ROCEPHIN,3,3417
SAVAYSA,108,532244
PILOCARPINE HCL,7072,17750268
NABI-HB,1,9060
CALCIUM GLUCONATE,13,33696
VUSION,7,60313
ZENCHENT FE,17,14247
MEFENAMIC ACID,4,33266
VOTRIENT,466,61397305
POLYCIN,35,10044
DESONATE,4,25746
KYNAMRO,6,2077702
IMITREX,196,2212350
BYDUREON,3883,44955909
AVINZA,28,208749
TESTRED,2,331079
PANTOPRAZOLE SODIUM,201696,171872269
EVOXAC,83,463642
PROPRANOLOL HCL,64870,34158096
ZALEPLON,4926,2725293
CORTISONE ACETATE,51,77053
PREGNYL,2,5289
SODIUM FLUORIDE,2,246
LORZONE,59,424220
ANAPROX DS,2,12234
ALOMIDE,12,28473
MIRVASO,25,107171
AVONEX PEN,2017,257794090
LEVETIRACETAM ER,2886,5590991
OXYCODONE HCL-IBUPROFEN,2,2017
LANSOPRAZOL-AMOXICIL-CLARITHRO,24,198870
ACCUPRIL,152,233584
CEDAX,1,1954
MENOMUNE-A-C-Y-W-135,11,39067
ALYACEN,108,29575
VALACYCLOVIR,43004,37106814
METROGEL,11,71069
GLEEVEC,4518,985510789
CLINDESSE,1,960
RIFADIN,1,8254
NAPHAZOLINE HCL,541,338668
DICLOFENAC SODIUM-MISOPROSTOL,2257,5647009
CEFPROZIL,1402,1585864
ISOSORBIDE MONONITRATE ER,110593,88049560
ORTHO MICRONOR,8,4337
DILTIAZEM 24HR CD,53067,46835393
INSULIN SYRINGE,71709,44542842
SOLU-CORTEF,63,62027
DEXAMETHASONE SODIUM PHOSPHATE,1177,772101
TOLTERODINE TARTRATE,8157,16646746
VELIVET,51,15195
CLARITHROMYCIN,6763,7021397
NILANDRON,66,6196153
KENALOG-10,3,1656
IXEMPRA,4,210801
ERYTHROMYCIN ETHYLSUCCINATE,56,261057
XODOL 10-300,4,32526
K-PHOS ORIGINAL,86,37574
PROAIR HFA,178530,512296615
PREMPRO,6403,16987945
FOSAMAX,93,144071
SELECT-OB + DHA,3,6473
GILENYA,1633,327875057
MIRAPEX ER,393,3914881
MOEXIPRIL-HYDROCHLOROTHIAZIDE,401,196645
VAGIFEM,8674,49691692
INFUMORPH,1,8166
TEGRETOL,1903,6833786
ENALAPRIL MALEATE,91628,106876144
VANCOMYCIN HCL,7914,38989074
VITAFOL-OB+DHA,5,6154
MARCAINE,4,498
HYDROCORTISONE,26916,13622336
RITALIN,194,345822
VASELINE PETROLEUM,1,98
METFORMIN HCL ER,93556,135099762
CYCLOSPORINE MODIFIED,1262,3959644
IMIPRAMINE HCL,9964,4093015
TERUMO INSULIN SYRINGE,11,2155
LEVOTHYROXINE SODIUM,245725,765369145
SUCRALFATE,34748,30662118
ZMAX,1,2899
TRAZODONE HCL,177801,81796263
DUTASTERIDE-TAMSULOSIN,10,43595
TELMISARTAN-AMLODIPINE,146,269526
CUPRIMINE,62,9144743
OLYSIO,82,35152080
FAZACLO,929,27798366
JANUMET,29664,365067513
FAMVIR,10,132608
ESOMEPRAZOLE STRONTIUM,55,130973
RHINOCORT AQUA,69,150312
BETAXOLOL HCL,819,1192044
FETZIMA,2444,13814874
IMBRUVICA,2198,445406028
CLOZAPINE ODT,852,10741107
DEXTROAMPHETAMINE-AMPHETAMINE,25035,46715855
XALKORI,213,37432400
ULTRA COMFORT,862,245226
GRIS-PEG,3,10481
FLUOXETINE HCL,141476,89873780
ENPRESSE,150,37763
FLUVOXAMINE MALEATE ER,586,3190794
PROTONIX,2067,9409875
ROWASA,2,39115
MONOJECT INSULIN SYRINGE,1038,686242
CLINDAMYCIN HCL,48673,8327689
CLINDAMYCIN PHOSPHATE,8058,14935068
TOPIRAMATE,65601,35253579
BUPRENORPHINE-NALOXONE,3125,31608390
TERAZOL 7,4,3325
EASY-TOUCH INSULIN SYRINGE,502,178231
GEMCITABINE HCL,50,787709
SIGNIFOR LAR,1,129888
ERBITUX,14,2250090
LISINOPRIL-HYDROCHLOROTHIAZIDE,137937,54910577
ABSTRAL,24,5244201
XANAX,862,3995919
NASONEX,23261,125038946
DIGOX,46153,53554954
PHOSPHA 250 NEUTRAL,569,344589
VICODIN ES,594,1218671
MICROZIDE,14,6863
SF 5000 PLUS,1021,140148
MULTI-VITAMIN WITH FLUORIDE,1,167
IXIARO,2,7956
ORTHO-NOVUM,7,4229
DEPAKOTE,1365,10612930
PENICILLIN G SODIUM,6,88035
CLONAZEPAM,153317,63867130
OXYBUTYNIN CHLORIDE ER,71460,129968352
SOLTAMOX,6,51223
SODIUM CHLORIDE,7215,3867480
PEGASYS,41,2184097
DIAMOX SEQUELS,22,135561
ACUVAIL,26,192668
DRITHOCREME HP,1,1299
OXYCODONE HCL ER,1635,19124090
VINORELBINE TARTRATE,6,14379
ETOPOSIDE,5,3331
BACITRACIN-POLYMYXIN,524,273104
NORTREL,540,143667
NYSTOP,14532,12573900
VIVELLE-DOT,1560,3372198
METHYLPREDNISOLONE SOD SUCC,183,176785
DEXTROSE IN LACTATED RINGERS,20,19492
BETOPTIC S,782,4390815
PLAVIX,2462,8342366
DEFEROXAMINE MESYLATE,24,141755
DEXAMETHASONE INTENSOL,7,10670
SYNTHROID,98877,228334423
RAVICTI,16,13918985
NEULASTA,276,37367803
ARICEPT,394,2448363
JALYN,5701,30417609
CARDIZEM,11,112316
DANAZOL,241,878509
ATENOLOL-CHLORTHALIDONE,20331,10155562
SANDOSTATIN,10,832412
DOXEPIN HCL,26824,19643302
ELIDEL,725,5958920
GLUCAGON EMERGENCY KIT,1727,9836048
FARYDAK,9,914815
OXYMORPHONE HCL ER,3609,39260866
CYRAMZA,11,1172355
PROVERA,22,12281
CYSTARAN,13,652661
CARNITOR SF,2,3660
CREON,11187,244331711
FIORICET WITH CODEINE,20,223843
HUMIRA PEN CROHN'S-UC-HS,2,205782
PROPAFENONE HCL,8490,8933035
OSENI,480,3477448
OXYCODONE HCL,105221,252391286
SUCLEAR,13,16804
STAXYN,75,757749
ESTRING,1270,7534717
AMPICILLIN TRIHYDRATE,2747,410459
SIMVASTATIN,236324,257001530
MEPERIDINE HCL,705,667918
VERSACLOZ,33,1172584
BEPREVE,712,6031963
MEPRON,50,1214602
LAMOTRIGINE ODT,60,415329
MARLISSA,57,12504
XYZAL,75,105534
SANCUSO,153,3776177
SPRYCEL,1175,169053015
ABILIFY MAINTENA,2655,115140367
GILOTRIF,258,26989516
VGO 30,298,1646567
LEVEMIR FLEXTOUCH,58844,1042621307
CIPROFLOXACIN ER,10,21399
RESERPINE,1,369
PROLENSA,3623,49640287
TIMOPTIC OCUDOSE,419,3885981
DIDANOSINE,328,1184002
PREDNISOLONE ACETATE,21747,152060638
LARIN FE,89,21049
HEPATAMINE,2,15781
DUEXIS,200,8172530
TRAVOPROST,901,2844285
TRIUMEQ,2094,189030852
FORADIL,2671,14409008
OLUX-E,1,9411
METHOCARBAMOL,23162,9848024
AZOPT,9946,105979129
FLUVOXAMINE MALEATE,9676,6582742
LIDODERM,5486,56984907
AZELEX,31,163691
NAMZARIC,342,1793825
GABAPENTIN,270302,475595818
ZEBUTAL,7,11499
XELJANZ,1469,113709995
MIRCETTE,3,4650
COREG CR,6255,33457187
ARALAST NP,172,23751654
AMMONIUM LACTATE,14185,14947339
CITALOPRAM HBR,169531,68292702
ZELBORAF,56,5821732
METOCLOPRAMIDE HCL,38389,8263831
SOTALOL AF,1987,807115
ANTARA,128,897398
SULAR,51,349147
SULFASALAZINE,9037,7093684
PRISTIQ ER,16805,112524064
PAXIL CR,326,869676
SIGNIFOR,5,722503
BCG (TICE STRAIN),10,75692
PHENYTOIN SODIUM EXTENDED,42804,43664454
ALPRAZOLAM XR,401,193698
AMOXICILLIN,172194,23134251
K-TAB ER,4733,7228028
DISOPYRAMIDE PHOSPHATE,643,703404
OPANA,25,440359
VENTOLIN HFA,72062,111888356
DEPEN,16,745154
NAPROXEN,95478,23244396
ORACIT,7,2446
LASIX,437,230938
ZONISAMIDE,8510,7840367
PHENYTEK,748,729465
LAMICTAL ODT,254,2668679
DORIBAX,9,191245
VITAMEDMD PLUS RX,1,1415
DELZICOL,2881,24013469
TOLTERODINE TARTRATE ER,27603,120996201
PRENAISSANCE PLUS,2,1202
METADATE CD,22,90954
CAYSTON,92,11308277
DEPO-MEDROL,122,43403
PHENOXYBENZAMINE HCL,1,40346
MERREM,2,11783
OPSUMIT,785,202972235
PERMETHRIN,3091,6809042
ZONALON,16,190266
MERCAPTOPURINE,2525,5904384
LACTATED RINGERS,113,94382
TPN ELECTROLYTES,2,2674
ULTILET ALCOHOL SWAB,3,68
TERBUTALINE SULFATE,412,1695125
COREG,368,1098585
TETANUS TOXOID ADSORBED,5,4095
VANCOMYCIN,90,82306
DILTIAZEM 24HR ER,45614,65854689
SYMAX-SR,1,936
PREDNISONE,227771,83557422
HALOPERIDOL,26319,36936492
BD INSULIN SYRINGE MICRO-FINE,6,1657
VGO 20,274,1646205
OXYMORPHONE HCL,1799,10983168
ISOPTO ATROPINE,1,738
SAIZEN,28,3936429
WELLBUTRIN XL,835,17859429
AVEED,2,22992
CARVEDILOL,186363,112765373
CARAFATE,8913,42539040
CERDELGA,6,2648323
PRECOSE,4,5657
TOFRANIL,10,134278
LOTEMAX,7075,58873542
PFIZERPEN,35,95437
XYLOCAINE,1,915
SODIUM POLYSTYRENE SULFONATE,1090,1867486
ZYVOX,93,4385925
FLEBOGAMMA DIF,15,1065004
TACLONEX,65,1146430
ACZONE,26,128262
GLYSET,237,813456
VIEKIRA PAK,134,76476353
XALATAN,1381,4159123
FEMCON FE,1,1297
LIDOCAINE HCL VISCOUS,2978,547961
CELEBREX,4579,26923646
DISULFIRAM,488,619261
MYOBLOC,4,67145
PHOSPHOLINE IODIDE,86,244867
SULFAMYLON,5,7182
NAPRELAN,35,426916
ENGERIX-B ADULT,21,24866
RISPERIDONE ODT,2345,7869019
NAMENDA XR,49903,860224729
BENZONATATE,264,126837
INTUNIV,79,370639
PRIMIDONE,28908,16225381
COLAZAL,4,33186
PAROXETINE HCL,119733,72188271
BICILLIN C-R,13,108410
INCRUSE ELLIPTA,223,1045513
KRISTALOSE,268,1470320
ALTAVERA,53,11751
COMETRIQ,20,3133585
BETADINE,3,847
CLIMARA,621,1153922
TUDORZA PRESSAIR,8054,64136253
OXTELLAR XR,299,2893036
LEVEMIR FLEXPEN,286,1678105
PIPERACILLIN-TAZOBACTAM,669,2220291
CLEOCIN PHOSPHATE IN D5W,1,230
TEKTURNA,4974,16073577
IPRATROPIUM BROMIDE,23594,17958493
ACAMPROSATE CALCIUM,587,1339886
GILDAGIA,19,6324
MVC-FLUORIDE,2,278
ALLOPURINOL,152548,129291500
SINEMET 25-250,20,44503
FYCOMPA,394,6502961
ESTRADIOL,52279,38177837
TRIFLUOPERAZINE HCL,3814,5270623
MULTIVITAMIN WITH FLUORIDE,13,2179
REMEVEN,2,1046
ROXICODONE,119,2446059
ELITE-OB,2,892
ZANAFLEX,61,267019
NECON,479,131652
BETHANECHOL CHLORIDE,6573,11207936
SODIUM PHOSPHATE,5,14453
VECTIBIX,7,670989
NIZATIDINE,1456,607939
NATEGLINIDE,7432,18061306
SOLU-MEDROL,251,131471
LIDOCAINE-HYDROCORTISONE,10,32884
COSOPT PF,1347,4516995
PERJETA,26,2154350
BLEPHAMIDE S.O.P.,36,66711
DESMOPRESSIN ACETATE,6187,11271388
LEVAQUIN,7,36362
RABAVERT,1,6444
DEXTROSE 5%-NS-KCL,4,3253
JUNEL,282,78653
ACTOPLUS MET XR,66,454441
ERYTHROMYCIN-BENZOYL PEROXIDE,304,643021
RIFAMATE,1,8599
NORPACE CR,33,202557
PREZCOBIX,688,30609888
HYDRALAZINE HCL,93239,69080750
CEFEPIME-DEXTROSE,15,24607
QUALAQUIN,7,21585
CEFUROXIME,25086,31638058
VOLTAREN,56929,181881405
CYCLOPENTOLATE HCL,279,147822
BUTALBITAL COMPOUND-CODEINE,979,2232607
KENALOG-40,495,223327
TRICOR,930,2329830
MENEST,810,633797
EASY TOUCH,1492,558043
PREDNICARBATE,30,46705
REPAGLINIDE,8917,23493326
ISOSORBIDE MONONITRATE,5808,1355483
PROLIA,3249,87620678
EPROSARTAN MESYLATE,8,8640
HAVRIX,139,435732
CHOLESTYRAMINE,10819,20976774
KLOR-CON-EF,41,16132
DILTZAC ER,4,1261
CLOPIDOGREL,191402,209656816
CARBAGLU,1,194234
AMINO ACIDS,6,5674
DEBLITANE,25,5515
OMNARIS,164,524283
CRYSELLE,497,137492
ACTOPLUS MET,32,200474
PERINDOPRIL ERBUMINE,672,373431
FLUPHENAZINE DECANOATE,2166,8103901
ESBRIET,958,190959715
SFROWASA,1,15798
CHOLESTYRAMINE LIGHT,1552,2190399
AEROSPAN,21,71990
STARLIX,55,162165
JENCYCLA,25,3068
PREZISTA,5138,383917838
DALVANCE,3,114031
KLOR-CON M10,26631,13785906
HUMALOG KWIKPEN U-100,29245,490314208
ASPIRIN-DIPYRIDAMOLE ER,2170,11081192
SONATA,28,110000
LOVASTATIN,111414,58158443
PROPRANOLOL HCL ER,29330,52801402
CEFEPIME,120,489935
AMOXICILLIN-CLAVULANATE POTASS,103038,38165835
FONDAPARINUX SODIUM,732,21546957
BICALUTAMIDE,8740,8188567
ERRIN,118,23755
CIMETIDINE,2742,1245145
VICTOZA 3-PAK,17542,425265433
STIOLTO RESPIMAT,202,1292107
ZEBETA,3,6814
ENOXAPARIN SODIUM,15061,132840050
NESINA,378,2425085
BYSTOLIC,52464,277485261
EPIVIR HBV,39,185387
NIMODIPINE,21,632328
AZACITIDINE,15,1023201
ALORA,140,148201
OLOPATADINE HCL,1276,6079111
XANAX XR,28,144623
VESICARE,50963,494441108
IRBESARTAN-HYDROCHLOROTHIAZIDE,9181,7068682
HOMATROPAIRE,4,2152
PREMARIN,46789,230721947
RIBASPHERE RIBAPAK,142,2887419
HERCEPTIN,89,9530365
PERTZYE,10,202239
ELESTRIN,25,72960
ANASPAZ,5,1137
NARATRIPTAN HCL,1164,1440742
AZACTAM,14,133179
ISOPTO CARPINE,8,9090
COARTEM,13,85063
METHADOSE,23,16695
PRENATE ELITE,1,1728
PERIOGARD,102,14025
